Time of Day,Process Name,PID,Operation,Path,Source
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,Sysmon
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,Sysmon
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,Sysmon
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,Sysmon
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,Sysmon
2023-03-04 11:54:20.486,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,File Create,C:\Users\azureuser\AppData\Local\Temp\__PSScriptPolicyTest_afmbildg.qat.ps1,Sysmon
2023-03-04 11:54:20.486,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,File Create,C:\Users\azureuser\AppData\Local\Temp\__PSScriptPolicyTest_bqhzcw1f.2xg.psm1,Sysmon
2023-03-04 11:54:20.502,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Image Load,C:\Windows\System32\amsi.dll,Sysmon
2023-03-04 11:54:21.281,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,DNSEvent,fp-vp-nocache.azureedge.net,Sysmon
2023-03-04 11:54:21.453,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,DNSEvent,3427bed104deb43a30272a2e62e06d93.clo.footprintdns.com,Sysmon
2023-03-04 11:54:21.611,C:\Windows\system32\svchost.exe,2852,DNSEvent,3427bed104deb43a30272a2e62e06d93.clo.footprintdns.com,Sysmon
2023-03-04 11:54:24.720,C:\WindowsAzure\GuestAgent_2.7.41491.1075_2023-03-03_013916\WindowsAzureGuestAgent.exe,3556,File Create,C:\WindowsAzure\Logs\AggregateStatus\aggregatestatus.json,Sysmon
2023-03-04 11:54:24.720,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,Sysmon
2023-03-04 11:54:25.627,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,Sysmon
2023-03-04 11:54:25.856,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,Sysmon
2023-03-04 11:54:26.330,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,Sysmon
2023-03-04 11:54:28.920,C:\Windows\System32\services.exe,784,Process Create,C:\Windows\System32\svchost.exe,Sysmon
2023-03-04 11:54:29.267,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,Sysmon
2023-03-04 11:54:29.955,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,8388,File Create,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\UPR64IJ6BUSHXV1ALSOG.temp,Sysmon
2023-03-04 11:54:29.955,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,8388,File Create,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\f18460fded109990.customDestinations-ms~RF908b7a.TMP,Sysmon
2023-03-04 11:54:30.564,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,Sysmon
2023-03-04 11:54:32.062,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,DNSEvent,fp-vs-nocache.azureedge.net,Sysmon
2023-03-04 11:54:33.736,C:\Windows\system32\lsass.exe,816,RegValueSet,HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\Certificates\7E04DE896A3E666D00E687D33FFAD93BE83D349E\Blob,Sysmon
2023-03-04 11:54:33.736,C:\Windows\system32\lsass.exe,816,RegValueSet,HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\Certificates\7E04DE896A3E666D00E687D33FFAD93BE83D349E\Blob,Sysmon
2023-03-04 11:54:33.285,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,DNSEvent,fp-as-nocache.azureedge.net,Sysmon
2023-03-04 11:54:34.414,C:\Windows\System32\services.exe,784,Process Create,C:\Windows\System32\svchost.exe,Sysmon
2023-03-04 11:54:35.333,C:\Windows\System32\services.exe,784,Process Create,C:\Windows\System32\svchost.exe,Sysmon
2023-03-04 11:54:38.846,C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.12.1.0\AMAExtHealthMonitor.exe,3532,File Create,C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.12.1.0\Status\HeartBeat.Json,Sysmon
2023-03-04 11:54:39.986,C:\WindowsAzure\GuestAgent_2.7.41491.1075_2023-03-03_013916\WindowsAzureGuestAgent.exe,3556,File Create,C:\WindowsAzure\Logs\AggregateStatus\aggregatestatus.json,Sysmon
2023-03-04 11:54:41.861,C:\Windows\system32\svchost.exe,1320,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,Sysmon
2023-03-04 11:54:43.877,C:\Windows\system32\svchost.exe,1320,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,Sysmon
2023-03-04 11:54:43.955,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\POWERSHELL.EXE-022A1004.pf,Sysmon
2023-03-04 11:54:43.955,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\CONHOST.EXE-F98A1078.pf,Sysmon
2023-03-04 11:54:43.971,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\APPLICATIONFRAMEHOST.EXE-4CE44C83.pf,Sysmon
2023-03-04 11:54:43.986,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SYSTEMSETTINGS.EXE-7A398F22.pf,Sysmon
2023-03-04 11:54:44.002,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,Sysmon
2023-03-04 11:54:44.002,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SVCHOST.EXE-47225CC8.pf,Sysmon
2023-03-04 11:54:44.002,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B6.pf,Sysmon
2023-03-04 11:54:44.002,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\FILECOAUTH.EXE-F31F3C40.pf,Sysmon
2023-03-04 11:54:44.017,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\USEROOBEBROKER.EXE-F817667C.pf,Sysmon
2023-03-04 11:54:44.017,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,Sysmon
2023-03-04 11:54:44.330,C:\Windows\system32\svchost.exe,1348,RegValueSet,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{4F2030CE-BA8E-4122-B9A8-29AA5858973E}\Author,Sysmon
2023-03-04 11:54:49.596,C:\Windows\System32\SecurityHealthService.exe,8112,Image Load,C:\Windows\System32\amsi.dll,Sysmon
2023-03-04 11:54:49.689,C:\Windows\System32\SecurityHealthService.exe,8112,Image Load,C:\Windows\System32\wlanapi.dll,Sysmon
2023-03-04 11:54:52.180,C:\Windows\System32\services.exe,784,Process Create,C:\Windows\System32\svchost.exe,Sysmon
2023-03-04 11:54:52.346,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SPPSVC.EXE-7B160CA5.pf,Sysmon
2023-03-04 11:54:52.479,C:\Windows\System32\services.exe,784,Process Create,C:\Windows\System32\svchost.exe,Sysmon
2023-03-04 11:54:52.722,C:\Windows\System32\services.exe,784,Process Create,C:\Windows\System32\svchost.exe,Sysmon
2023-03-04 11:54:55.346,C:\WindowsAzure\GuestAgent_2.7.41491.1075_2023-03-03_013916\WindowsAzureGuestAgent.exe,3556,File Create,C:\WindowsAzure\Logs\AggregateStatus\aggregatestatus.json,Sysmon
2023-03-04 11:54:57.564,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SECHEALTHUI.EXE-1EB72B45.pf,Sysmon
2023-03-04 11:54:58.783,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SECURITYHEALTHHOST.EXE-633FDACE.pf,Sysmon
2023-03-04 11:54:58.861,C:\Windows\system32\services.exe,784,RegValueSet,HKLM\System\CurrentControlSet\Services\WdNisDrv\Start,Sysmon
2023-03-04 11:55:01.006,C:\Program Files\Microsoft Monitoring Agent\Agent\MonitoringHost.exe,1416,Process Create,C:\Windows\System32\cscript.exe,Sysmon
2023-03-04 11:55:02.533,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\WMIPRVSE.EXE-BB49B536.pf,Sysmon
2023-03-04 11:55:02.541,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SVCHOST.EXE-EC4B19FF.pf,Sysmon
2023-03-04 11:55:02.612,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SVCHOST.EXE-AD192156.pf,Sysmon
2023-03-04 11:55:02.612,C:\Windows\System32\cscript.exe,9648,Image Load,C:\Windows\System32\amsi.dll,Sysmon
2023-03-04 11:55:02.747,C:\Windows\System32\cscript.exe,9648,Image Load,C:\Windows\System32\scrobj.dll,Sysmon
2023-03-04 11:55:02.860,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SVCHOST.EXE-792BD178.pf,Sysmon
2023-03-04 11:55:04.106,C:\Windows\System32\svchost.exe,1348,Process Create,C:\Windows\System32\taskhostw.exe,Sysmon
2023-03-04 11:55:04.333,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\TASKHOSTW.EXE-1EAF2222.pf,Sysmon
2023-03-04 11:55:06.398,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\RUNTIMEBROKER.EXE-39C1DDA0.pf,Sysmon
2023-03-04 11:55:06.762,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\RUNTIMEBROKER.EXE-A57EE15F.pf,Sysmon
2023-03-04 11:55:08.860,C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.12.1.0\AMAExtHealthMonitor.exe,3532,File Create,C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.12.1.0\Status\HeartBeat.Json,Sysmon
2023-03-04 11:55:10.380,C:\WindowsAzure\GuestAgent_2.7.41491.1075_2023-03-03_013916\WindowsAzureGuestAgent.exe,3556,File Create,C:\WindowsAzure\Logs\AggregateStatus\aggregatestatus.json,Sysmon
2023-03-04 11:55:14.328,C:\Windows\system32\svchost.exe,1348,RegValueSet,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{2DFC28A5-3035-4555-A9E6-CE6D44EB1DB3}\Author,Sysmon
2023-03-04 11:55:14.869,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,File Create,C:\Users\Public\splunkd.exe,Sysmon
2023-03-04 11:55:14.928,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Create,C:\Users\Public\splunkd.exe,Sysmon
2023-03-04 11:55:14.998,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Users\Public\splunkd.exe,Sysmon
2023-03-04 11:55:15.059,C:\Users\Public\splunkd.exe,10124,Process Create,C:\Windows\System32\conhost.exe,Sysmon
2023-03-04 11:55:15.002,C:\Users\Public\splunkd.exe,10124,Image Load,C:\Users\Public\splunkd.exe,Sysmon
2023-03-04 11:55:15.258,C:\Users\Public\splunkd.exe,10124,Image Load,C:\Windows\System32\samlib.dll,Sysmon
2023-03-04 11:55:15.292,C:\Users\Public\splunkd.exe,10124,Process Create,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Sysmon
2023-03-04 11:55:15.705,C:\Packages\Plugins\Microsoft.EnterpriseCloud.Monitoring.MicrosoftMonitoringAgent\1.0.18067.0\MMAExtensionHeartbeatService.exe,4212,File Create,C:\Packages\Plugins\Microsoft.EnterpriseCloud.Monitoring.MicrosoftMonitoringAgent\1.0.18067.0\Status\HeartBeat.Json,Sysmon
2023-03-04 11:55:17.283,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,10188,Image Load,C:\Windows\System32\amsi.dll,Sysmon
2023-03-04 11:55:17.346,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,10188,File Create,C:\Users\azureuser\AppData\Local\Temp\__PSScriptPolicyTest_j0bsxiqf.bwi.ps1,Sysmon
2023-03-04 11:55:17.346,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,10188,File Create,C:\Users\azureuser\AppData\Local\Temp\__PSScriptPolicyTest_2hjzf5xi.m5r.psm1,Sysmon
2023-03-04 11:55:18.143,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,10188,File Create,C:\Users\azureuser\AppData\Local\Microsoft\Windows\PowerShell\StartupProfileData-NonInteractive,Sysmon
2023-03-04 11:55:20.462,C:\Windows\System32\SearchProtocolHost.exe,9376,Image Load,C:\Windows\System32\cryptdll.dll,Sysmon
2023-03-04 11:55:20.524,C:\Windows\System32\SearchFilterHost.exe,9388,Image Load,C:\Windows\System32\cryptdll.dll,Sysmon
2023-03-04 11:55:25.100,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SPLUNKD.EXE-D0EE579B.pf,Sysmon
2023-03-04 11:55:25.392,C:\WindowsAzure\GuestAgent_2.7.41491.1075_2023-03-03_013916\WindowsAzureGuestAgent.exe,3556,File Create,C:\WindowsAzure\Logs\AggregateStatus\aggregatestatus.json,Sysmon
2023-03-04 11:55:30.492,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SEARCHPROTOCOLHOST.EXE-C6CFE2A8.pf,Sysmon
2023-03-04 11:55:30.586,C:\Windows\system32\svchost.exe,2120,File Create,C:\Windows\Prefetch\SEARCHFILTERHOST.EXE-10E4267C.pf,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3g2\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3g2\OpenWithProgids\WMP11.AssocFile.3G2,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gp\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gp\OpenWithProgids\WMP11.AssocFile.3GP,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gp2\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gp2\OpenWithProgids\WMP11.AssocFile.3G2,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gpp\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gpp\OpenWithProgids\WMP11.AssocFile.3GP,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aac\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aac\OpenWithProgids\WMP11.AssocFile.ADTS,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.adt\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.adt\OpenWithProgids\WMP11.AssocFile.ADTS,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.adts\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.adts\OpenWithProgids\WMP11.AssocFile.ADTS,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aif\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aif\OpenWithProgids\WMP11.AssocFile.AIFF,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aifc\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aifc\OpenWithProgids\WMP11.AssocFile.AIFF,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aiff\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aiff\OpenWithProgids\WMP11.AssocFile.AIFF,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.asf\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.asf\OpenWithProgids\WMP11.AssocFile.ASF,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.asx\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.asx\OpenWithProgids\WMP11.AssocFile.ASX,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.au\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.au\OpenWithProgids\WMP11.AssocFile.AU,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.avi\OpenWithProgids,Sysmon
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.avi\OpenWithProgids\WMP11.AssocFile.AVI,Sysmon
